Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 26.51     16.24    16.24 111661494     0.00     0.00  debug_draw_t::DrawCircle(b2Vec2 const&, float, b2Color const&)
  7.93     21.10     4.86                             b2Mul(b2Transform const&, b2Vec2 const&)
  6.84     25.29     4.19                             operator-(b2Vec2 const&, b2Vec2 const&)
  4.77     28.21     2.92                             operator*(float, b2Vec2 const&)
  3.74     30.50     2.29                             b2Vec2::b2Vec2(float, float)
  3.04     32.36     1.86                             b2World::DrawShape(b2Fixture*, b2Transform const&, b2Color const&)
  2.91     34.14     1.78                             b2World::Solve(b2TimeStep const&)
  2.84     35.88     1.74                             b2ContactSolver::SolveVelocityConstraints()
  2.17     37.21     1.33                             b2World::SolveTOI(b2TimeStep const&)
  1.90     38.38     1.17                             operator+(b2Vec2 const&, b2Vec2 const&)
  1.79     39.47     1.10                             b2Cross(float, b2Vec2 const&)
  1.71     40.52     1.05                             b2Contact::GetFixtureA()
  1.53     41.46     0.94                             b2Mul(b2Rot const&, b2Vec2 const&)
  1.18     42.18     0.72                             b2Dot(b2Vec2 const&, b2Vec2 const&)
  1.04     42.82     0.64                             b2ContactManager::Collide()
  0.99     43.42     0.61                             b2Vec2::b2Vec2()
  0.82     43.92     0.50 112577941     0.00     0.00  debug_draw_t::DrawSegment(b2Vec2 const&, b2Vec2 const&, b2Color const&)
  0.77     44.39     0.47                             float b2Min<float>(float, float)
  0.66     44.80     0.41                             b2MulT(b2Rot const&, b2Vec2 const&)
  0.66     45.20     0.41                             b2Cross(b2Vec2 const&, float)
  0.65     45.60     0.40                             b2Cross(b2Vec2 const&, b2Vec2 const&)
  0.62     45.98     0.38                             float b2Max<float>(float, float)
  0.59     46.34     0.36                             b2ContactSolver::b2ContactSolver(b2ContactSolverDef*)
  0.59     46.70     0.36                             b2Island::Solve(b2Profile*, b2TimeStep const&, b2Vec2 const&, bool)
  0.59     47.06     0.36                             b2Contact::IsEnabled() const
  0.57     47.41     0.35                             b2Max(b2Vec2 const&, b2Vec2 const&)
  0.57     47.76     0.35                             b2Vec2::operator-() const
  0.56     48.11     0.35                             b2Body::IsAwake() const
  0.56     48.45     0.34                             b2Distance(b2DistanceOutput*, b2SimplexCache*, b2DistanceInput const*)
  0.53     48.77     0.33                             b2DistanceProxy::GetSupport(b2Vec2 const&) const
  0.52     49.09     0.32                             b2Fixture::GetBody()
  0.51     49.40     0.31                             b2ContactSolver::InitializeVelocityConstraints()
  0.49     49.70     0.30                             b2ContactManager::AddPair(void*, void*)
  0.47     49.99     0.29                             b2Min(b2Vec2 const&, b2Vec2 const&)
  0.46     50.27     0.28                             b2Vec2::operator-=(b2Vec2 const&)
  0.46     50.55     0.28                             b2ContactSolver::SolvePositionConstraints()
  0.41     50.80     0.25                             b2PairLessThan(b2Pair const&, b2Pair const&)
  0.41     51.05     0.25                             b2EPCollider::Collide(b2Manifold*, b2EdgeShape const*, b2Transform const&, b2PolygonShape const*, b2Transform const&)
  0.41     51.30     0.25                             b2DynamicTree::InsertLeaf(int)
  0.39     51.54     0.24                             b2TestOverlap(b2AABB const&, b2AABB const&)
  0.39     51.78     0.24                             b2Contact::Update(b2ContactListener*)
  0.36     52.00     0.22                             b2Vec2::operator+=(b2Vec2 const&)
  0.36     52.22     0.22                             b2EPCollider::ComputePolygonSeparation()
  0.36     52.44     0.22                             b2TimeOfImpact(b2TOIOutput*, b2TOIInput const*)
  0.33     52.65     0.21                             b2Sweep::GetTransform(b2Transform*, float) const
  0.32     52.84     0.20   838364     0.00     0.00  debug_draw_t::DrawSolidCircle(b2Vec2 const&, float, b2Vec2 const&, b2Color const&)
  0.32     53.04     0.20                             b2TreeNode::IsLeaf() const
  0.32     53.23     0.20                             b2Vec2::Normalize()
  0.29     53.41     0.18                             float b2Clamp<float>(float, float, float)
  0.29     53.59     0.18                             b2Shape::GetType() const
  0.29     53.77     0.18                             b2ContactSolver::WarmStart()
  0.29     53.95     0.18                             b2SeparationFunction::Initialize(b2SimplexCache const*, b2DistanceProxy const*, b2Sweep const&, b2DistanceProxy const*, b2Sweep const&, float)
  0.28     54.12     0.17                             b2Fixture::GetShape()
  0.28     54.29     0.17                             b2Fixture::IsSensor() const
  0.26     54.45     0.16                             b2DynamicTree::Balance(int)
  0.24     54.60     0.15                             b2Contact::GetNext()
  0.24     54.75     0.15                             b2Rot::Set(float)
  0.24     54.90     0.15                             b2FindMaxSeparation(int*, b2PolygonShape const*, b2Transform const&, b2PolygonShape const*, b2Transform const&)
  0.23     55.04     0.14                             b2Simplex::Solve3()
  0.22     55.18     0.14                             b2DistanceProxy::GetVertex(int) const
  0.22     55.31     0.14                             b2Vec2::Length() const
  0.21     55.44     0.13                             b2Vec2::LengthSquared() const
  0.21     55.57     0.13                             b2Simplex::ReadCache(b2SimplexCache const*, b2DistanceProxy const*, b2Transform const&, b2DistanceProxy const*, b2Transform const&)
  0.21     55.70     0.13                             b2ChainShape::GetChildEdge(b2EdgeShape*, int) const
  0.20     55.82     0.12                             b2Body::GetFixtureList()
  0.17     55.93     0.11                             b2Pair* std::__unguarded_partition<b2Pair*, __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(b2Pair const&, b2Pair const&)> >(b2Pair*, b2Pair*, b2Pair*, __gnu_cxx::__ops::_Iter_comp_iter<bool (*)(b2Pair const&, b2Pair const&)>)
  0.16     56.03     0.10                             b2GrowableStack<int, 256>::Push(int const&)
  0.16     56.13     0.10                             b2AABB::Combine(b2AABB const&, b2AABB const&)
  0.16     56.23     0.10                             b2Vec2::Set(float, float)
  0.16     56.33     0.10                             b2SeparationFunction::FindMinSeparation(int*, int*, float) const
  0.15     56.42     0.09                             b2CollidePolygonAndCircle(b2Manifold*, b2PolygonShape const*, b2Transform const&, b2CircleShape const*, b2Transform const&)
  0.15     56.51     0.09                             b2Transform::b2Transform()
  0.15     56.60     0.09                             b2PositionSolverManifold::Initialize(b2ContactPositionConstraint*, b2Transform const&, b2Transform const&, int)
  0.15     56.69     0.09                             b2Sweep::b2Sweep()
  0.15     56.78     0.09                             void b2DynamicTree::Query<b2BroadPhase>(b2BroadPhase*, b2AABB const&) const
  0.15     56.87     0.09                             b2Contact::GetChildIndexA() const
  0.13     56.95     0.08                             b2MulT(b2Rot const&, b2Rot const&)
  0.13     57.03     0.08                             b2WorldManifold::Initialize(b2Manifold const*, b2Transform const&, float, b2Transform const&, float)
  0.13     57.11     0.08                             b2Simplex::GetSearchDirection() const
  0.11     57.18     0.07                             b2Body::GetNext()
  0.11     57.25     0.07                             b2Distance(b2Vec2 const&, b2Vec2 const&)
  0.11     57.32     0.07                             b2EPCollider::b2EPCollider()
  0.11     57.39     0.07                             b2Fixture::GetNext()
  0.11     57.46     0.07                             b2Contact::IsTouching() const
  0.11     57.53     0.07                             b2Contact::GetChildIndexB() const
  0.11     57.60     0.07                             b2Fixture::GetType() const
